iter	Passed	Remaining
0	136	136816
1	137	68621
2	138	45873
3	138	34500
4	139	27681
5	139	23128
6	140	19875
7	140	17438
8	141	15548
9	141	14032
10	142	12795
11	142	11763
12	143	10888
13	143	10139
14	144	9487
15	144	8916
16	145	8416
17	146	7969
18	146	7566
19	147	7204
20	147	6876
21	147	6579
22	148	6307
23	148	6058
24	149	5829
25	150	5619
26	150	5426
27	151	5244
28	151	5077
29	152	4918
30	152	4773
31	153	4637
32	153	4510
33	154	4390
34	155	4274
35	155	4166
36	156	4063
37	156	3967
38	157	3874
39	157	3785
40	158	3700
41	158	3620
42	159	3543
43	159	3469
44	160	3399
45	160	3333
46	161	3268
47	161	3206
48	162	3146
49	162	3091
50	163	3041
51	163	2989
52	164	2938
53	164	2889
54	165	2842
55	165	2797
56	166	2753
57	166	2711
58	167	2670
59	167	2630
60	168	2592
61	168	2554
62	169	2518
63	169	2484
64	170	2450
65	170	2417
66	171	2385
67	171	2355
68	172	2326
69	172	2297
70	173	2269
71	173	2241
72	174	2214
73	174	2188
74	175	2162
75	175	2137
76	176	2114
77	176	2091
78	177	2069
79	178	2047
80	178	2025
81	178	2003
82	179	1980
83	179	1959
84	180	1939
85	180	1921
86	181	1902
87	181	1885
88	182	1867
89	182	1848
90	183	1830
91	183	1813
92	184	1794
93	184	1778
94	184	1761
95	185	1746
96	185	1730
97	186	1715
98	186	1700
99	187	1686
100	187	1672
101	188	1657
102	188	1643
103	189	1630
104	189	1617
105	190	1605
106	190	1592
107	191	1580
108	191	1568
109	192	1556
110	192	1544
111	193	1532
112	193	1521
113	194	1510
114	194	1499
115	195	1488
116	195	1477
117	196	1466
118	196	1456
119	197	1446
120	197	1436
121	198	1426
122	198	1417
123	199	1408
124	199	1399
125	200	1390
126	200	1381
127	201	1372
128	201	1363
129	202	1354
130	202	1346
131	203	1337
132	203	1329
133	204	1320
134	204	1312
135	205	1304
136	205	1296
137	206	1288
138	206	1281
139	207	1273
140	207	1266
141	208	1258
142	208	1250
143	209	1243
144	209	1235
145	210	1228
146	210	1221
147	211	1215
148	211	1208
149	212	1201
150	212	1194
151	212	1188
152	213	1181
153	213	1175
154	214	1169
155	214	1162
156	215	1156
157	215	1150
158	216	1144
159	217	1139
160	217	1133
161	218	1127
162	218	1122
163	218	1116
164	219	1110
165	219	1105
166	220	1099
167	220	1094
168	221	1088
169	221	1083
170	222	1078
171	222	1073
172	223	1068
173	223	1063
174	224	1057
175	224	1052
176	225	1048
177	225	1043
178	226	1038
179	226	1033
180	227	1028
181	227	1024
182	228	1019
183	228	1014
184	229	1010
185	229	1005
186	230	1001
187	230	996
188	231	992
189	231	988
190	232	983
191	232	979
192	233	975
193	233	971
194	234	967
195	234	963
196	235	959
197	235	955
198	236	951
199	236	947
200	237	943
201	237	939
202	238	935
203	238	931
204	239	927
205	239	923
206	240	920
207	240	916
208	241	912
209	241	908
210	242	905
211	242	901
212	243	898
213	243	895
214	244	891
215	244	888
216	245	884
217	245	881
218	246	877
219	246	874
220	247	871
221	247	867
222	248	864
223	248	861
224	249	857
225	249	854
226	250	851
227	250	848
228	250	844
229	251	841
230	251	838
231	252	835
232	253	832
233	253	829
234	253	826
235	254	823
236	254	820
237	255	817
238	255	814
239	256	811
240	256	809
241	257	806
242	257	803
243	258	800
244	258	797
245	259	794
246	259	791
247	260	789
248	260	786
249	261	783
250	261	781
251	262	778
252	262	775
253	263	773
254	263	770
255	264	767
256	264	765
257	265	762
258	265	760
259	266	757
260	266	754
261	267	752
262	267	749
263	268	747
264	268	744
265	269	742
266	269	739
267	269	737
268	270	735
269	271	733
270	271	730
271	272	728
272	272	725
273	273	723
274	273	721
275	274	718
276	274	716
277	274	714
278	275	711
279	275	709
280	276	707
281	277	705
282	277	703
283	277	700
284	278	698
285	278	696
286	279	694
287	279	692
288	280	689
289	280	687
290	281	685
291	281	683
292	282	681
293	282	679
294	283	677
295	283	675
296	284	673
297	284	671
298	285	668
299	285	666
300	286	664
301	286	662
302	287	660
303	287	658
304	288	656
305	288	654
306	289	653
307	289	651
308	290	649
309	290	647
310	291	645
311	291	643
312	292	641
313	292	639
314	293	637
315	293	635
316	294	634
317	294	632
318	295	630
319	295	628
320	296	626
321	296	624
322	297	622
323	297	621
324	298	619
325	298	617
326	299	615
327	299	614
328	300	612
329	300	610
330	301	608
331	301	606
332	302	605
333	302	603
334	303	601
335	303	599
336	303	598
337	304	596
338	304	594
339	305	592
340	305	591
341	306	589
342	307	588
343	307	586
344	308	584
345	308	583
346	309	581
347	309	579
348	309	578
349	310	576
350	310	574
351	311	573
352	311	571
353	312	570
354	312	568
355	313	566
356	313	565
357	314	563
358	314	562
359	315	560
360	315	559
361	316	557
362	316	556
363	317	554
364	317	552
365	318	551
366	318	550
367	319	548
368	319	547
369	320	545
370	321	544
371	321	542
372	322	541
373	322	540
374	323	538
375	323	537
376	324	535
377	324	534
378	325	533
379	325	531
380	326	530
381	326	528
382	327	527
383	327	526
384	328	524
385	328	523
386	329	521
387	329	520
388	330	518
389	330	517
390	331	515
391	331	514
392	332	513
393	332	511
394	333	510
395	333	509
396	334	507
397	334	506
398	335	504
399	335	503
400	336	502
401	336	500
402	337	499
403	337	498
404	338	496
405	338	495
406	339	494
407	339	492
408	340	491
409	340	490
410	341	488
411	341	487
412	342	486
413	342	485
414	343	483
415	343	482
416	344	481
417	344	479
418	345	478
419	345	477
420	346	476
421	346	474
422	347	473
423	347	472
424	348	471
425	348	469
426	349	468
427	349	467
428	350	466
429	350	464
430	351	463
431	351	462
432	352	461
433	352	460
434	353	458
435	353	457
436	354	456
437	354	455
438	355	453
439	355	452
440	356	451
441	356	450
442	356	448
443	357	447
444	357	446
445	358	445
446	358	444
447	359	442
448	359	441
449	360	440
450	361	439
451	361	438
452	362	437
453	362	436
454	363	434
455	363	433
456	363	432
457	364	431
458	364	430
459	365	428
460	365	427
461	366	426
462	366	425
463	367	424
464	367	423
465	368	422
466	368	420
467	369	419
468	369	418
469	370	417
470	370	416
471	371	415
472	371	414
473	372	413
474	372	411
475	373	410
476	373	409
477	374	408
478	374	407
479	375	406
480	375	405
481	376	404
482	376	403
483	377	402
484	377	401
485	378	399
486	378	398
487	379	397
488	379	396
489	380	395
490	380	394
491	381	393
492	381	392
493	382	391
494	382	390
495	383	389
496	383	388
497	384	387
498	384	386
499	385	385
500	385	384
501	386	383
502	386	381
503	387	380
504	387	379
505	388	378
506	388	377
507	389	376
508	389	375
509	390	374
510	390	373
511	391	372
512	391	371
513	392	370
514	392	369
515	393	368
516	393	367
517	394	366
518	394	365
519	395	364
520	395	363
521	396	362
522	396	361
523	397	360
524	397	359
525	398	358
526	398	357
527	399	356
528	399	355
529	399	354
530	400	353
531	400	352
532	401	351
533	401	350
534	402	349
535	402	348
536	403	347
537	403	346
538	404	345
539	404	344
540	405	343
541	405	342
542	406	341
543	406	340
544	407	340
545	407	339
546	408	338
547	408	337
548	409	336
549	409	335
550	410	334
551	410	333
552	411	332
553	411	331
554	412	330
555	412	329
556	413	328
557	413	327
558	413	326
559	414	325
560	415	324
561	415	323
562	416	322
563	416	322
564	417	321
565	417	320
566	418	319
567	418	318
568	419	317
569	419	316
570	420	315
571	420	314
572	421	313
573	421	312
574	422	312
575	422	311
576	423	310
577	423	309
578	424	308
579	424	307
580	425	306
581	425	305
582	426	304
583	426	303
584	427	303
585	427	302
586	428	301
587	428	300
588	429	299
589	429	298
590	430	297
591	430	296
592	431	295
593	431	294
594	431	294
595	432	293
596	433	292
